LithicType,Length_mm_,Width_mm_,Thickness_mm_,Freq1_dry_Hz,Freq1_wet_Hz
obsidian,114,52,16,6917.93862707052,4601.52894672007
obsidian,89,86,14,7826.17296541785,4669.23902966547
obsidian,105,67,14,7135.35955534988,4366.67921470686
obsidian,109,38,18,8513.06469969569,6226.13790065417
obsidian,91,65,13,8821.186263482,5395.47929245343
obsidian,87,62,11,8166.21114390518,4802.87664107198
obsidian,95,67,18,11207.0605758542,7467.93899985775
obsidian,72,63,14,13205.8042057558,8540.25009393291
obsidian,113,67,23,10121.3250799808,7080.89976835816
obsidian,103,96,15,6490.71687297463,3798.41799427008
obsidian,93,68,12,7796.17849439893,4593.45316710438
obsidian,78,66,11,9142.479834754,5383.80076137414
obsidian,126,102,27,8988.82471148083,6051.03139292807
obsidian,80,56,11,9657.82064815911,5859.19174834877
obsidian,93,72,14,8945.8673651894,5471.69475617481
obsidian,81,54,16,13703.0224656925,9326.91183517132
obsidian,64,57,11,12901.7231878601,8018.77105198524
obsidian,75,40,9,8990.55303974085,5524.88591103636
obsidian,83,52,21,17128.9024018869,12525.9740915309
obsidian,60,43,15,23412.8985409918,16727.0457093174
obsidian,102,71,21,11341.8885665704,7747.32666417489
obsidian,64,24,8,10974.7961910899,7371.02305192167
obsidian,37,18,4,16418.1027022295,9965.14966050156
obsidian,95,61,20,12452.2895287269,8671.8186185026
obsidian,57,22,11,19024.3312244439,14154.3316276742
obsidian,60,52,12,16456.4637025572,10746.6875664489
obsidian,41,32,15,48917.84179876,37607.5608499657
obsidian,49,31,9,21062.8325066815,14176.5054568903
obsidian,54,43,7,12898.6924800405,7478.99477535612
obsidian,85,77,10,6537.32706289514,3576.67424645849
obsidian,87,66,17,12620.5081314898,8375.8548017894
obsidian,85,70,12,8629.27172302159,5110.6157135356
obsidian,80,52,16,14047.7391245951,9633.63157700577
obsidian,84,36,13,10352.6422120032,7160.56503133056
obsidian,103,94,16,7070.73838077236,4242.12497387642
obsidian,36,32,5,18570.6621643441,10790.0241262211
obsidian,40,31,5,17252.7442042938,9932.91996618035
obsidian,75,35,8,7991.60270199186,4875.91866136807
obsidian,39,24,4,14777.3718601921,8363.56197171393
obsidian,107,61,19,9325.07794103612,6336.87193466561
obsidian,49,16,10,23403.1472296461,18122.9132560635
obsidian,41,41,7,17817.2301836134,10857.4885994829
obsidian,66,53,7,8562.25384181078,4625.79181110338
obsidian,27,17,2,15415.9002739041,7727.55579913407
obsidian,64,20,5,6859.24761943119,4189.46504073286
obsidian,79,40,20,18007.0362116264,13598.9721463571
obsidian,40,21,7,24583.5434680414,16892.4383181736
