LithicType,Length_mm_,Width_mm_,Thickness_mm_,Freq1_dry_Hz,Freq1_wet_Hz
chert,84,44,22,19269.2021204931,14835.4643686134
chert,51,47,7,13775.3907973279,8138.14936787501
chert,51,37,12,28512.8426469958,20439.8285171192
chert,45,33,7,21363.5113610639,13670.1065498118
chert,61,40,11,18269.7514327062,12433.7273213731
chert,90,51,21,16022.6335207979,11895.5162636526
chert,68,60,21,24279.1262802904,18042.0839737832
chert,29,22,6,44091.5004309371,30382.2609819569
chert,57,44,8,15046.5307547026,9244.03190755381
chert,46,33,9,26286.1189950979,18006.7392025711
chert,58,37,13,23882.8960667576,17255.5614949351
chert,46,32,6,17524.0793300653,10739.653978692
chert,73,55,32,37111.104634934,30101.4894700607
chert,88,67,24,19153.3842264556,14111.9747847455
chert,65,28,17,24866.9105191758,19676.221737063
chert,59,35,8,14203.1798764409,9084.72829124594
chert,66,60,17,20250.122640704,14373.742451272
chert,49,44,6,13127.3304033375,7499.5705800001
chert,54,39,6,12716.3758101571,7342.3525191126
chert,55,45,7,13341.2572691697,7852.04865719705
chert,64,23,12,18105.9335265713,13791.5718880141
chert,61,38,11,18269.7514327062,12543.7158170605
chert,54,39,12,25432.7516203142,17984.6806430021
chert,62,23,11,17685.1574092351,13241.6137477741
chert,38,23,4,17119.5530297406,10076.4067451898
chert,35,18,11,55495.3021070203,44351.3382625703
chert,53,21,7,15400.893736616,10606.1516682108
chert,46,36,10,28484.827243957,19783.0079238519
chert,54,29,10,21193.9596835952,15025.1755746343
chert,37,20,8,36114.8788530977,26550.091501584
chert,49,20,8,20591.9488337738,14872.0652722278
chert,41,32,4,14381.3639987783,7808.52576318786
chert,46,26,6,17524.0793300653,11189.0855641181
chert,61,36,5,8304.43246941192,4515.92957228218
chert,61,28,7,11626.2054571767,7463.61355985504
chert,50,25,6,14832.3807449672,9473.84533802815
chert,34,23,7,37423.105974182,26235.8171062902
chert,28,20,3,23648.566238787,13527.0383641919
chert,47,27,6,16786.3068639285,10609.9809257584
chert,92,54,22,16063.7393858932,11928.4340055201
chert,53,38,6,13200.7660599566,7681.17600022043
chert,51,35,4,9504.28088233195,4913.54022711598
chert,46,26,9,26286.1189950979,18734.7176712817
chert,36,25,2,9537.28185761782,4310.04978609719
chert,41,35,5,16435.8445700323,9460.29743115929
chert,66,45,8,11350.1536156774,6823.51069540798
chert,57,41,8,15217.3804708805,9472.41286354088
chert,28,14,2,15765.710825858,8502.86645745197
chert,46,26,3,8762.03966503263,4433.52684731232
chert,54,33,7,14835.7717785166,9308.41151744401
chert,51,36,6,14256.4213234979,8429.13575150278
chert,53,21,6,13200.7660599566,8717.10047076702
chert,42,25,4,14013.9651785405,8012.51039089798
chert,67,48,30,41302.0181136312,33795.9687181266
chert,62,47,10,16077.4158265774,10339.7395126322
chert,50,23,6,14832.3807449672,9640.67137405096
chert,65,60,20,24190.1917517911,17865.3550049345
chert,56,51,13,21471.3361662432,14835.584572054
chert,26,12,3,27426.7395432086,17613.2005836869
chert,53,24,7,15400.893736616,10320.1109309546
chert,57,22,9,17119.5530297406,12391.4184855092
chert,31,23,2,12861.9326612619,6063.97161739708
chert,26,14,2,18284.4930288058,9938.28303899998
chert,29,20,2,14697.1668103124,7236.19794405064
chert,36,20,4,19074.5637152356,11639.3018063248
chert,24,26,2,15118.8698448695,7155.87877240844
chert,47,35,6,16786.3068639285,10077.2572533301
chert,34,14,4,21384.6319852469,14157.3783973686
chert,27,18,3,25432.7516203142,14937.9924522307
chert,22,18,3,35735.5105424187,21506.0396237062
chert,52,24,6,13713.3697716043,8806.60029184344
chert,40,12,6,23175.5949140113,17370.8569975449
chert,90,30,6,4577.89529165655,2681.23625029686
chert,41,26,6,22058.8648794873,14247.0733063374
chert,32,24,4,24141.2447020951,14375.0971623754
chert,58,30,9,16534.3126616014,11274.988043881
chert,43,28,3,10027.2990433797,5025.02262992778
chert,43,13,5,16712.1650722995,11780.436659726
chert,38,21,7,29959.217802046,21114.6375620303
chert,43,25,4,13369.7320578396,7623.56482029898
chert,52,51,23,40909.8831096468,32377.8499786143
chert,67,40,5,6883.6696856052,3610.22156770644
chert,57,44,7,13165.7144103648,7751.18562425991
chert,44,21,5,15961.1535220464,10129.268742719
chert,70,43,23,29008.9079195788,22865.7521138203
chert,86,48,13,10862.9072969947,7250.29716239182
chert,54,50,12,20964.8328515523,14290.1511003118
chert,45,33,9,27467.3717499393,18856.6663777245
chert,56,27,2,3941.42770646451,1643.08803591696
chert,66,45,19,26956.6148372338,20412.6445042675
chert,16,11,4,96564.9788083805,70773.979451627
chert,20,11,2,30900.7932186817,18269.1572612671
chert,27,14,3,25432.7516203142,15747.9365206415
chert,33,24,3,17025.2304235161,9160.37302908235
chert,48,40,14,34395.428897078,25426.1852476965
chert,52,22,14,31997.8628004101,25520.1359133421
chert,55,38,12,24516.3318098632,17380.692035108
chert,91,43,14,10448.2817307462,7231.93816522118
chert,42,33,7,23823.6736949458,15360.87828245
chert,41,36,5,15979.2933319759,9159.55804419517
