LithicType,Length_mm_,Width_mm_,Thickness_mm_,Freq1_dry_Hz,Freq1_wet_Hz
metavolcanic,56,27,10,19664.9568987074,14285.6090660085
metavolcanic,63,45,14,21752.8412114097,15635.240311052
metavolcanic,103,93,21,10413.7101676517,7072.43786374293
metavolcanic,69,57,12,14493.1792809467,9540.40505515489
metavolcanic,74,45,18,20271.1374546793,15235.174818169
metavolcanic,75,38,10,10963.4319705505,7322.0742332392
metavolcanic,52,34,9,20526.0260173491,14053.3426891511
metavolcanic,52,49,13,24235.4056598483,17237.8255716055
metavolcanic,42,31,11,38455.9157130279,28590.0309202787
metavolcanic,62,26,16,25668.8053420797,20565.4499265813
metavolcanic,131,57,18,6468.43125119887,4487.98449018608
metavolcanic,115,57,16,7460.9366907338,5063.52921970619
metavolcanic,37,29,7,30988.7945622664,21073.5499707046
metavolcanic,51,31,15,35564.7663404536,27798.2945901336
metavolcanic,41,29,9,33017.474331298,23702.5585174107
metavolcanic,34,23,10,53347.1495106804,41137.9724999771
metavolcanic,44,36,12,35985.9053737142,26610.6813004376
metavolcanic,38,32,10,39063.6472806765,28553.3989990777
metavolcanic,48,23,7,18736.3339340463,12958.6997264133
metavolcanic,46,32,8,23315.4271585431,15814.6839775088
metavolcanic,49,43,13,29307.9324258631,21354.8948977911
metavolcanic,47,30,9,25125.5655730701,17725.2956162914
metavolcanic,51,27,6,14225.9065361814,9088.24455560434
metavolcanic,71,66,18,18246.374555686,13051.7779535966
metavolcanic,78,62,21,20627.1566782332,15275.7810318659
metavolcanic,62,47,10,16043.0033387998,10500.2946809136
metavolcanic,58,44,14,25664.9901213095,18657.2873282333
metavolcanic,53,45,8,15933.3820019464,10024.1500943234
metavolcanic,48,30,6,16059.7148006111,10108.2886536002
metavolcanic,62,36,15,24064.5050081997,18182.6918782933
metavolcanic,84,72,20,15708.1332980498,11182.4256679572
metavolcanic,43,34,13,42237.9026137438,32098.0107917469
metavolcanic,60,43,12,20556.4349447822,14391.412905681
metavolcanic,45,29,9,27408.5799263762,19510.849613222
metavolcanic,78,49,13,13177.2018876809,8988.87296820812
metavolcanic,52,48,16,30449.6122392966,22794.9920059331
metavolcanic,41,24,8,29348.8660722649,21093.921621945
metavolcanic,71,56,17,20309.9526304363,14651.8532549214
metavolcanic,64,42,17,25595.1704634739,19397.2397467761
metavolcanic,54,31,10,21148.5956222039,15050.304442016
metavolcanic,34,20,5,26673.5747553402,17801.0059348646
metavolcanic,50,19,6,14800.6331602432,10185.0764842645
metavolcanic,50,34,21,51802.2160608511,42583.4708819188
metavolcanic,57,37,22,41758.2242645621,34017.2979161372
metavolcanic,64,50,15,22266.2789499856,16005.8383226759
metavolcanic,58,38,16,29331.4172814966,22414.0835215279
metavolcanic,72,42,10,11896.0850374897,7822.38928804265
